State,Population 2012, Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022
AK,730810,737626,737075,738430,742575,740983,736624,733603,733374,734923,733276
AL,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,5024294,5050380,5073903
AR,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3011490,3028443,3046404
AZ,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7157902,7272487,7365684
CA,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39538212,39145060,39040616
CO,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5773707,5811596,5841039
CT,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3605912,3603691,3608706
DC,635737,651559,663603,677014,687576,697079,704147,708253,689548,669037,670949
DE,915518,924062,933131,942065,949989,957942,966985,976668,989946,1004881,1019459
FL,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21538216,21830708,22245521
GA,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10713771,10790385,10913150
HI,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1455274,1446745,1439399
IA,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3190427,3197944,3199693
ID,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1839117,1904537,1938996
IL,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12813469,12690341,12582515
IN,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6785442,6813798,6832274
KS,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2937835,2937946,2936716
KY,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4506297,4507600,4511563
LA,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4657785,4627047,4588023
MA,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,7032933,6991951,6982740
MD,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6177253,6175045,6163981
ME,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1363177,1378787,1389338
MI,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,10077674,10038117,10033281
MN,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5706804,5717968,5714300
MS,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2961306,2949582,2938928
MT,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1084244,1106366,1122878
NC,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10439459,10567100,10695965
ND,702227,723149,738736,755537,756114,756755,760062,763724,779079,777982,778912
NE,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1961965,1964253,1968060
NH,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1377524,1387494,1399003
NJ,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,9289039,9269175,9260817
NM,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2117525,2116950,2113476
NV,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3104617,3146632,3177421
NY,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,20202320,19854526,19673200
OH,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11799331,11765227,11759697
OK,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3959411,3991634,4019271
OR,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4237279,4256465,4239379
PA,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,13002788,13013614,12972091
RI,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1097371,1097092,1093842
SC,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5118422,5193848,5282955
SD,833859,842751,849670,854663,863693,873732,879386,887127,886668,896299,909869
TN,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6910786,6963709,7048976
TX,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29145459,29561286,30029848
UT,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3203383,3271614,3339284,3381236
VA,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8556642,8631373,8657348,8679099
VT,626361,626603,625693,625810,624366,625132,624802,624046,643077,647093,647110
WA,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7614024,7705267,7741433,7784477
WI,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5893713,5879978,5890543
WV,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1795263,1793713,1785249,1774035